template_id,day_name,exercise_order,exercise_name_en,sets,reps,rest,focus_group,notes_vi
fat_loss_5day,Thứ 2,1,Bench Press,4,6-8,90 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,2,Incline Dumbbell Press,3,8-10,75 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,3,Cable Fly,3,12-15,60 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,4,Triceps Pushdown,3,10-12,60 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,5,Incline Treadmill Walk,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,1,Lat Pulldown,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,2,Seated Cable Row,3,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,3,Face Pull,3,12-15,60 giây,rear_delts,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,4,Barbell Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,5,Cycling,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,1,Squat,4,6-8,90 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,2,Leg Press,3,10-12,75 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,3,Leg Curl,3,10-12,60 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,4,Calf Raise,4,12-15,45-60 giây,calves,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,5,Plank,3,30-45 giây,45 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,1,Overhead Press,4,6-8,90 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,2,Lateral Raise,4,12-15,60 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,3,Rear Delt Fly,3,12-15,60 giây,rear_delts,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,4,Close-Grip Bench Press,3,8-10,75 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,5,Brisk Walking,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 7,1,Romanian Deadlift,4,6-8,90 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 7,2,Walking Lunge,3,10-12 mỗi chân,75 giây,glutes,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 7,3,Pull-Up,3,6-10,90 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 7,4,Hammer Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 7,5,Hanging Leg Raise,3,10-15,45-60 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 2,1,Bench Press,4,6-8,90 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 2,2,Incline Dumbbell Press,3,8-10,75 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 2,3,Cable Fly,2,12-15,60 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 2,4,Overhead Triceps Extension,3,10-12,60 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 3,1,Lat Pulldown,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 3,2,Barbell Row,3,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 3,3,Cable Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 3,4,Hammer Curl,2,12-15,45-60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 4,1,Squat,4,6-8,90 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 4,2,Leg Press,3,10-12,75 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 4,3,Leg Curl,3,10-12,60 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 4,4,Calf Raise,4,12-15,45-60 giây,calves,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 5,1,Overhead Press,4,6-8,90 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 5,2,Lateral Raise,4,12-15,60 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 5,3,Rear Delt Fly,3,12-15,60 giây,rear_delts,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 5,4,Triceps Pushdown,3,10-12,60 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 6,1,Seated Cable Row,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 6,2,Pull-Up,3,6-10,90 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 6,3,Preacher Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 6,4,Plank,3,30-45 giây,45 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 7,1,Romanian Deadlift,4,6-8,90 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 7,2,Bulgarian Split Squat,3,8-10 mỗi chân,75 giây,glutes,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 7,3,Leg Extension,3,12-15,60 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_6day,Thứ 7,4,Incline Treadmill Walk,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 2,1,Bench Press,4,6-8,90 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 2,2,Seated Cable Row,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 2,3,Lateral Raise,3,12-15,60 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 2,4,Triceps Pushdown,3,10-12,60 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 3,1,Squat,4,6-8,90 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 3,2,Romanian Deadlift,4,8-10,90 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 3,3,Calf Raise,4,12-15,45-60 giây,calves,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 3,4,Plank,3,30-45 giây,45 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 5,1,Incline Dumbbell Press,4,8-10,75 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 5,2,Lat Pulldown,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 5,3,Rear Delt Fly,3,12-15,60 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 5,4,Barbell Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 6,1,Leg Press,4,10-12,75 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 6,2,Hip Thrust,4,8-10,75 giây,glutes,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 6,3,Leg Curl,3,10-12,60 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
recomp_4day,Thứ 6,4,Hanging Leg Raise,3,10-15,45-60 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
